ID Cliente;Nome Completo;CPF;E-mail;Estado;Data Nascimento;Telefone;Última Compra;Valor Compra;Status Cliente;registros_duplicados;email_valido;Telefone_valido;cpf_valido;data_nascimento_valida;ultima_compra_valida
25;Gabriela Silveira;36758294056;gomesmariana@ig.com.br;PR;26/05/1999;(84) 7411-7954;2024-12-17;1191,32;Ativo;False;True;True;True;True;True
26;Ana Carolina Teixeira;35012874617;ana@;BA;10/04/1954;(41) 6395-9168;2025-01-04;1318,61;Bloqueado;True;False;True;True;True;True
27;Pedro Lucas Melo;39054621761;pcardoso@da.org;MS;10/05/1967;(71) 9308-9425;2024-08-26;2302,26;Bloqueado;False;False;True;True;True;True
28;Ryan Da Mata;nan;rodriguesluigi@moreira.net;SC;25/01/1950;(84) 0365-4831;2025-07-02;1860,24;Ativo;False;False;True;False;True;True
29;Daniel Nogueira;54129736043;barbaraaraujo@ig.com.br;AM;24/06/1972;(11) 3868-3122;2025-05-10;4660,15;Ativo;False;True;True;True;True;True
30;Catarina Rocha;73910845223;juan13@yahoo.com.br;AM;17/04/1974;(81) 1153-6109;2024-09-08;1033,91;Bloqueado;False;True;True;True;True;True
31;Leandro Duarte;27814956382;da-rosavitor-gabriel@das.com;AL;23/03/1965;[INVÁLIDO] 03009517330;2025-09-19;1681,11;Ativo;False;False;False;True;True;False
32;Ryan Duarte;08369524729;limasabrina@bol.com.br;MS;31/11/1985;nan;2024-10-19;4521,56;Bloqueado;False;True;False;True;False;True
33;Pietra Viana;93217084560;ana-carolina25@fogaca.com;SC;12/11/1967;[INVÁLIDO] 08004062372;2025-06-26;218,68;Inativo;False;False;False;True;True;True
34;Mariane Mendes;43019627516;beniciomartins@aragao.br;SP;04/04/1975;(61) 9951-5231;2025-05-08;4650,81;Ativo;False;False;True;True;True;True
35;Melissa Pereira;63719458237;melissa@;SC;23/10/1945;[INVÁLIDO] 09007004517;2025-02-16;4323,04;Ativo;False;False;False;True;True;True
36;Rebeca Da Luz;61874503290;almeidaluana@ig.com.br;AC;03/12/1947;(41) 8430-5379;2024-10-11;1539,85;Ativo;False;True;True;True;True;True
37;Bárbara Jesus;79561083221;mirella31@ig.com.br;PR;24/10/1944;(31) 0748-8498;2025-03-29;3404,0;Bloqueado;False;True;True;True;True;True
38;Gustavo Henrique Santos;nan;goliveira@ferreira.br;AL;08/09/1983;(21) 7999-7537;2025-10-22;2990,92;Inativo;False;False;True;False;True;False
39;Davi Lucca Fogaça;83705421905;ana-clara50@duarte.br;RS;06/12/1951;(84) 9548-2099;2025-06-09;28,42;Bloqueado;False;False;True;True;True;True
40;Giovanna Da Cruz;74293615016;moraesbeatriz@ferreira.com;ES;12/04/2006;(61) 9027-1668;2025-05-20;3323,67;Ativo;False;False;True;True;True;True
41;Eloah Pereira;03241765970;agathamoraes@ig.com.br;PA;27/11/1970;nan;2025-06-29;4703,01;Bloqueado;False;True;False;True;True;True
42;Noah Campos;96123578464;gdas-neves@melo.org;TO;13/10/1999;(61) 6231-9508;2024-09-12;3041,17;Inativo;False;False;True;True;True;True
43;Vitória Freitas;86152043735;ana-carolinafernandes@da.com;DF;13/10/2002;(81) 1553-0399;2025-07-17;2586,95;Bloqueado;False;False;True;True;True;True
44;Sarah Da Costa;nan;pedro08@rodrigues.br;TO;29/03/1975;(81) 7785-9412;2024-09-19;250,14;Inativo;False;False;True;False;True;True
45;Otávio Dias;28390645700;luiz-miguelmoura@pereira.br;GO;29/01/1954;(51) 6380-7620;2024-08-14;754,91;Bloqueado;False;False;True;True;True;True
46;Alice Da Paz;76582903438;oliveirasophie@silva.br;CE;01/07/1965;(11) 5290-2777;2025-05-18;270,09;Ativo;False;False;True;True;True;True
47;Enrico Monteiro;04962837583;umoreira@hotmail.com;CE;15/12/1976;(41) 8117-6203;2025-07-28;2224,02;Bloqueado;False;True;True;True;True;True
48;Laura Duarte;08146792340;caldeiralorenzo@gmail.com;RO;12/09/2005;(21) 1848-7126;2025-07-27;4202,52;Inativo;False;True;True;True;True;True
49;Yago Monteiro;95631284782;cavalcantiheitor@sales.org;MS;28/11/1972;(81) 0491-6920;2024-11-27;2709,96;Ativo;False;False;True;True;True;True
50;Francisco Jesus;98065243738;leticia73@ferreira.com;RJ;11/08/1981;(61) 8155-1743;2025-02-05;4167,8;Inativo;False;False;True;True;True;True
51;Isabelly Mendes;30254961851;kjesus@yahoo.com.br;SP;01/10/1945;nan;2024-10-28;3772,31;Inativo;False;True;False;True;True;True
52;Luiz Henrique Pinto;01643958224;gmoraes@gmail.com;GO;02/08/1972;(71) 2892-5167;2025-01-08;3350,99;Inativo;True;True;True;True;True;True
53;Rafaela Farias;36492051815;beniciocampos@almeida.com;DF;26/05/1972;(61) 8938-7257;2025-01-08;438,06;Inativo;False;False;True;True;True;True
54;Yasmin Campos;25034867974;luiz-felipecardoso@uol.com.br;AL;15/04/1997;(61) 8547-4840;2025-01-17;3765,01;Inativo;True;True;True;True;True;True
55;Heitor Ribeiro;nan;heitor@;BA;10/08/1977;(81) 9717-3087;2025-01-25;3910,54;Bloqueado;False;False;True;False;True;True
56;Maria Clara Castro;nan;fcarvalho@da.br;AP;13/04/1971;(11) 6011-9543;2024-11-19;589,66;Ativo;False;False;True;False;True;True
57;Anthony Freitas;38412509633;lda-costa@ig.com.br;AL;17/04/1967;[INVÁLIDO] 09006251150;2024-12-25;1568,97;Bloqueado;False;True;False;True;True;True
58;Eduardo Novaes;17402953823;smelo@gmail.com;CE;20/04/1963;nan;2025-01-14;3143,67;Ativo;False;True;False;True;True;True
59;Ana Laura Lopes;81652043780;cardosomaria-clara@bol.com.br;MS;23/09/1953;nan;2025-06-24;3314,38;Ativo;False;True;False;True;True;True
60;Sofia Martins;76831409539;carolineda-cruz@yahoo.com.br;RO;27/09/1977;(21) 8345-0661;2025-01-16;3542,4;Inativo;False;True;True;True;True;True
61;Pedro Miguel Moraes;19386724537;alexiamoura@uol.com.br;PE;16/05/1999;(41) 1237-2941;2025-05-18;2970,52;Inativo;False;True;True;True;True;True
62;Maria Da Luz;76249130896;correiabrenda@uol.com.br;MG;09/08/1985;(71) 0660-2331;2024-12-06;162,93;Inativo;True;True;True;True;True;True
63;Kaique Fogaça;34629750134;liviada-cunha@moreira.br;PA;13/05/1958;[INVÁLIDO] 08007996028;2025-09-08;4741,35;Ativo;False;False;False;True;True;False
64;Kamilly Farias;27319405814;isiscampos@gmail.com;PB;22/04/1992;(31) 2687-4209;2025-11-02;1485,29;Inativo;True;True;True;True;True;False
65;Clara Carvalho;40125678967;lopesluiz-henrique@costela.com;RS;07/11/1996;(11) 8851-8447;2024-11-14;3520,22;Inativo;False;False;True;True;True;True
66;Maria Clara Da Conceição;14389572032;alanagomes@ig.com.br;RS;06/07/1995;(84) 4205-1444;2024-10-02;3698,25;Inativo;False;True;True;True;True;True
67;Maria Cecília Silveira;02836915498;renan58@azevedo.org;PA;07/05/1983;(84) 0036-7588;2025-05-08;90,46;Bloqueado;False;False;True;True;True;True
68;Ana Sophia Peixoto;nan;pedro-miguelfarias@da.com;DF;03/03/1955;(31) 0791-0740;2025-06-14;530,89;Ativo;False;False;True;False;True;True
69;Beatriz Caldeira;71352946025;amoraes@moraes.com;AM;01/07/1974;(11) 7052-0257;2025-04-18;2015,52;Ativo;False;False;True;True;True;True
70;Otávio Fernandes;54032917841;yjesus@bol.com.br;PA;06/10/1979;(71) 3908-5073;2025-08-08;2092,55;Bloqueado;False;True;True;True;True;True
71;Gustavo Moreira;95246718328;leonardo77@hotmail.com;MA;10/02/1981;(51) 6457-8290;2024-10-14;3112,72;Bloqueado;True;True;True;True;True;True
72;Ana Da Mota;nan;gabrielgoncalves@barbosa.br;RN;02/08/1999;nan;2025-07-31;2768,92;Ativo;False;False;False;False;True;True
73;Igor Da Rocha;75239864128;lucca11@ig.com.br;MT;09/05/1986;(21) 5383-8788;2025-03-17;3443,18;Inativo;False;True;True;True;True;True
74;Joaquim Silva;07948162313;alopes@uol.com.br;PR;20/07/1970;(21) 9650-8893;2025-01-18;4136,62;Ativo;False;True;True;True;True;True
75;Daniela Da Mata;03692158424;mouradavi@goncalves.com;AL;21/10/1952;(81) 1891-1596;2025-06-28;2024,49;Inativo;False;False;True;True;True;True
76;João Vitor Carvalho;58407329150;joão@;SC;28/03/2004;(41) 4726-5402;2025-06-04;4810,32;Bloqueado;False;False;True;True;True;True
77;Nina Melo;nan;araujoclara@yahoo.com.br;PE;23/07/1969;(51) 8066-9120;2024-08-29;2604,44;Inativo;False;True;True;False;True;True
78;Samuel Da Mota;70214658317;moreiraluiz-gustavo@oliveira.net;MG;08/12/1976;(84) 7977-0529;2024-10-09;3357,26;Ativo;False;False;True;True;True;True
79;Antônio Das Neves;67301948557;marinafogaca@ig.com.br;SP;28/03/1970;(84) 6837-9882;2025-03-15;1629,9;Inativo;False;True;True;True;True;True
80;Maria Luiza Correia;668950;dfogaca@bol.com.br;RR;26/10/1990;(41) 4474-0562;2025-05-13;2221,36;Ativo;False;True;True;False;True;True
81;Paulo Lopes;97685401258;emanuellaaraujo@fernandes.net;PE;20/05/1948;(71) 8460-1666;2024-08-21;1211,7;Ativo;False;False;True;True;True;True
82;Yasmin Ramos;nan;diasraul@bol.com.br;PB;03/02/1952;nan;2025-03-11;3245,59;Ativo;False;True;False;False;True;True
83;Maria Julia Da Rocha;01587364948;pedropeixoto@souza.br;GO;07/12/1983;(81) 8144-0844;2025-01-07;1930,26;Bloqueado;False;False;True;True;True;True
84;Joaquim Gonçalves;05281647911;costelaclarice@gmail.com;RS;26/09/1981;(41) 0815-4240;2024-11-09;4106,34;Inativo;False;True;True;True;True;True
85;Bernardo Sales;35072196461;omonteiro@lima.org;RO;28/09/1963;(11) 0880-6394;2025-06-11;3819,11;Inativo;True;False;True;True;True;True
86;Joaquim Almeida;70156392461;henrique60@da.br;RJ;18/04/1981;(71) 3342-4084;2025-09-02;3728,63;Bloqueado;False;False;True;True;True;True
87;Vicente Araújo;56208174902;glopes@freitas.com;MS;30/06/1998;(61) 3603-9480;2024-10-07;4827,46;Inativo;False;False;True;True;True;True
88;André Nogueira;41086927303;wpeixoto@bol.com.br;RO;08/01/1994;(41) 4351-4119;2025-01-11;788,72;Inativo;False;True;True;True;True;True
89;Rafael Da Mota;79536042134;rpeixoto@hotmail.com;AL;29/01/1994;(84) 8637-4728;2024-12-13;4771,62;Bloqueado;False;True;True;True;True;True
90;Antônio Barros;71490823603;antônio@;AC;01/10/1985;(81) 5705-4071;2024-11-30;3738,9;Inativo;False;False;True;True;True;True
91;Eduarda Moreira;20341865915;kevinsilveira@hotmail.com;RO;04/09/2000;nan;2025-01-09;299,47;Inativo;False;True;False;True;True;True
92;Emilly Da Conceição;78134609520;lcardoso@ferreira.br;RN;20/12/1966;nan;2024-12-06;3106,16;Ativo;False;False;False;True;True;True
93;Giovanna Gomes;27461389564;alvesraul@ferreira.br;ES;09/05/1963;(81) 9859-1426;2025-04-03;1452,41;Bloqueado;False;False;True;True;True;True
94;Vitor Costela;17945630839;xalves@da.com;BA;22/03/1995;(71) 0948-2553;2024-09-22;1012,1;Inativo;False;False;True;True;True;True
95;Thiago Lima;75608349229;da-motamaria-fernanda@gomes.br;RN;27/03/1945;nan;2024-09-25;1991,11;Ativo;False;False;False;True;True;True
96;Agatha Cunha;59463780238;agatha@;PE;24/02/1970;(71) 4617-0997;2025-04-10;3998,32;Bloqueado;False;False;True;True;True;True
97;Lucas Gabriel Pinto;41208376535;kfreitas@gmail.com;MS;30/06/1983;(61) 4462-9677;2025-02-03;503,88;Bloqueado;False;True;True;True;True;True
98;Giovanna Viana;48315672053;lsales@hotmail.com;MS;14/11/1956;(71) 7785-3428;2025-03-19;894,69;Ativo;False;True;True;True;True;True
99;Maria Eduarda Vieira;89142536782;juanaraujo@ig.com.br;RR;27/08/1981;(84) 1821-8805;2025-02-13;4837,57;Inativo;False;True;True;True;True;True
100;Milena Costa;20184695767;caldeiraana-luiza@hotmail.com;MG;01/05/1997;(84) 6845-1896;2024-10-06;4900,11;Bloqueado;False;True;True;True;True;True
101;Noah Pires;662636;antonioda-rosa@hotmail.com;SE;23/10/1967;(31) 9524-7392;2025-02-23;3199,98;Inativo;False;True;True;False;True;True
102;Stephany Da Rosa;688678;ana-laurada-cunha@uol.com.br;ES;17/06/2004;(61) 2744-3201;2024-09-16;3511,36;Bloqueado;False;True;True;False;True;True
103;Enrico Almeida;74982160350;theo26@bol.com.br;PA;22/10/1974;[INVÁLIDO] 08002838725;2024-12-18;2279,15;Bloqueado;False;True;False;True;True;True
104;Enzo Gabriel Caldeira;97031462878;ferreiramariana@barbosa.br;AP;23/02/2001;(41) 3852-1264;2025-06-30;3085,95;Inativo;False;False;True;True;True;True
105;Emanuella Santos;85639740175;pintoalexandre@bol.com.br;PA;09/10/1948;(21) 8724-8466;2025-04-12;4889,66;Inativo;False;True;True;True;True;True
106;Mirella Gonçalves;64380715280;nogueiranina@hotmail.com;RJ;28/09/1992;(31) 7182-5690;2024-09-16;4856,04;Ativo;False;True;True;True;True;True
107;Maria Cecília Ramos;53041286998;cardosogabrielly@goncalves.net;ES;25/06/1988;(61) 8228-4012;2024-10-31;4351,08;Inativo;False;False;True;True;True;True
108;Marina Rocha;40821367544;maria-vitoria48@costela.br;SE;21/04/1981;(61) 2383-8887;2025-01-04;567,43;Ativo;False;False;True;True;True;True
109;Clarice Melo;12536498719;carolina99@bol.com.br;MA;06/02/1976;nan;2025-06-07;585,97;Ativo;False;True;False;True;True;True
110;Isaac Ramos;06835721995;qpereira@ig.com.br;RS;27/03/1980;nan;2024-09-22;4337,56;Bloqueado;False;True;False;True;True;True
111;Pedro Lucas Fernandes;602248;enogueira@souza.com;BA;05/01/2005;(71) 5186-7756;2025-01-23;4498,35;Inativo;False;False;True;False;True;True
112;Kevin Rodrigues;nan;lalmeida@uol.com.br;CE;17/03/1948;(61) 5708-1107;2025-02-26;2662,17;Inativo;False;True;True;False;True;True
113;Helena Lopes;71236058968;emanuelbarbosa@lopes.br;AL;23/06/1978;(41) 8519-2409;2024-12-22;2161,75;Ativo;False;False;True;True;True;True
114;Yasmin Ribeiro;60945813775;sophierodrigues@ig.com.br;DF;27/03/1951;(41) 2358-8848;2024-08-27;3440,37;Inativo;False;True;True;True;True;True
115;Stella Caldeira;38960247529;monteirolucca@yahoo.com.br;RS;27/08/1979;(21) 8581-4269;2024-10-07;2816,7;Inativo;False;True;True;True;True;True
116;Ian Da Mata;34026918505;ryan46@hotmail.com;SE;11/10/1946;nan;2024-09-04;1576,0;Ativo;False;True;False;True;True;True
117;Eduardo Azevedo;93054821714;qgomes@moraes.br;DF;17/12/1976;(41) 9542-2777;2025-07-30;2879,02;Inativo;False;False;True;True;True;True
118;Beatriz Alves;86207145380;dramos@bol.com.br;BA;25/07/1989;(71) 5556-0365;2025-05-17;1351,89;Ativo;False;True;True;True;True;True
119;Lucas Gabriel Gomes;20187436517;moraesvalentina@uol.com.br;GO;22/03/1961;(21) 0558-5565;2025-04-29;3710,03;Ativo;False;True;True;True;True;True
120;Luiz Henrique Carvalho;97201864530;luiz-henrique71@bol.com.br;TO;16/12/1988;(71) 8019-6007;2025-03-02;2989,19;Ativo;False;True;True;True;True;True
121;Leandro Dias;185544;duartelucas@hotmail.com;PB;08/10/2004;(84) 6887-6710;2024-12-12;3779,62;Ativo;False;True;True;False;True;True
122;Emanuelly Fernandes;21805764985;znovaes@barros.org;DF;03/10/1945;(11) 1086-8937;2025-08-10;292,81;Ativo;False;False;True;True;True;True
123;Luiz Gustavo Da Cruz;72546839128;amandagomes@ig.com.br;PB;31/11/1985;(31) 1443-5548;2025-05-16;1913,43;Bloqueado;True;True;True;True;False;True
124;João Gabriel Pires;78650943101;francisco10@ig.com.br;GO;29/09/1968;(61) 8842-3213;2025-02-27;407,76;Inativo;False;True;True;True;True;True
125;Bryan Da Rosa;35108947232;cazevedo@gomes.com;RN;05/08/1965;(84) 6126-6963;2025-01-20;3098,26;Bloqueado;False;False;True;True;True;True
126;Marcelo Farias;nan;da-luzgiovanna@yahoo.com.br;SC;16/06/1982;(81) 0736-4352;2024-10-24;1565,17;Inativo;False;True;True;False;True;True
127;Kevin Da Conceição;39652418773;aduarte@uol.com.br;SP;07/10/1982;(11) 9342-0449;2024-10-15;4791,95;Bloqueado;False;True;True;True;True;True
128;Guilherme Mendes;58290617321;pereiraotavio@ramos.br;CE;08/01/1963;(71) 2915-0478;2024-11-16;3868,78;Inativo;False;False;True;True;True;True
129;Fernando Costa;76390154216;levipereira@uol.com.br;MG;24/02/1987;(71) 9325-9751;2025-07-25;4855,45;Inativo;False;True;True;True;True;True
130;Ana Julia Da Luz;nan;luiz-fernandopeixoto@vieira.net;SE;02/05/1978;nan;2025-01-23;1565,83;Inativo;False;False;False;False;True;True
131;Lorenzo Novaes;05694237838;luiz-fernando28@uol.com.br;CE;07/03/1971;(31) 6237-8407;2025-06-10;2910,04;Bloqueado;False;True;True;True;True;True
132;João Felipe Nogueira;32564179819;almeidalevi@dias.com;CE;24/01/1954;(31) 1898-5299;2024-10-07;535,44;Inativo;False;False;True;True;True;True
133;Larissa Oliveira;nan;melissa32@bol.com.br;MG;25/11/1993;(81) 9604-8723;2024-12-14;3056,83;Inativo;False;True;True;False;True;True
134;Emilly Da Conceição;74581302960;maria-alice28@yahoo.com.br;SC;10/02/1986;(41) 9679-0124;2025-06-08;490,64;Bloqueado;False;True;True;True;True;True
135;Natália Sales;36589470200;xda-rocha@ig.com.br;CE;31/10/1973;nan;2024-10-24;4585,4;Inativo;False;True;False;True;True;True
136;Gabrielly Costela;57310624807;costelasabrina@monteiro.com;BA;13/11/1952;(84) 1286-3064;2024-11-03;4069,66;Bloqueado;False;False;True;True;True;True
137;Maysa Souza;49728531664;eduardaaragao@ig.com.br;BA;29/12/1989;[INVÁLIDO] 03005987492;2025-10-04;1558,15;Ativo;False;True;False;True;True;False
138;Pietro Ribeiro;94058716339;fmartins@hotmail.com;RS;20/11/1979;(81) 0089-5794;2025-05-30;2708,06;Bloqueado;False;True;True;True;True;True
139;Ian Nascimento;nan;fogacaluiz-henrique@souza.com;DF;20/11/1976;(81) 6205-5876;2024-09-10;4160,1;Bloqueado;False;False;True;False;True;True
140;Luiza Freitas;36481209560;duartejoao-felipe@da.br;SP;11/05/1977;(41) 3391-5611;2024-11-21;3747,71;Inativo;False;False;True;True;True;True
141;Raul Rezende;74530268900;barbosalucca@yahoo.com.br;AC;13/04/1963;(61) 5888-8895;2024-10-22;2214,18;Inativo;False;True;True;True;True;True
142;Thales Correia;87069413203;lauradias@da.br;GO;03/11/1985;(71) 1251-2532;2024-09-02;2413,34;Inativo;False;False;True;True;True;True
143;Lorenzo Viana;82045973638;vdas-neves@da.br;RS;23/09/1948;(84) 5645-5214;2024-10-30;753,8;Inativo;False;False;True;True;True;True
144;Ana Sophia Monteiro;07136945801;maria51@hotmail.com;SC;29/11/1992;(41) 2429-8090;2025-07-05;1943,11;Ativo;False;True;True;True;True;True
145;Marcelo Da Mata;nan;eramos@gmail.com;AP;19/09/1968;[INVÁLIDO] 03005541552;2024-08-27;1448,66;Inativo;False;True;False;False;True;True
146;Davi Santos;76850213407;meloenzo-gabriel@hotmail.com;AM;18/04/2006;(51) 1878-3587;2025-03-21;2753,05;Bloqueado;False;True;True;True;True;True
147;Maria Cecília Rocha;06312874508;rodrigo25@correia.com;PE;20/10/2001;(41) 9478-3110;2024-11-22;332,78;Inativo;False;False;True;True;True;True
148;Maria Alice Mendes;nan;maria-julia09@moura.br;AP;06/12/1967;(61) 7535-9828;2024-09-27;1218,01;Inativo;False;False;True;False;True;True
149;Alana Da Costa;75469820300;bcardoso@yahoo.com.br;RR;02/09/1986;(41) 8543-1233;2024-08-16;121,26;Inativo;False;True;True;True;True;True
150;João Guilherme Monteiro;50189763221;mendesdiego@moreira.br;PB;19/02/2000;(31) 7304-0804;2025-05-06;536,25;Bloqueado;False;False;True;True;True;True
151;Fernando Correia;672536;giovanna11@bol.com.br;GO;19/06/1954;(31) 3041-4751;2025-04-28;2403,09;Ativo;False;True;True;False;True;True
152;Vinicius Da Luz;nan;mcosta@peixoto.com;AL;09/02/1947;nan;2025-01-14;228,69;Inativo;False;False;False;False;True;True
153;João Da Cunha;81367459001;gustavo-henriqueporto@yahoo.com.br;BA;18/05/2003;(41) 4196-0600;2024-08-29;4331,68;Inativo;False;True;True;True;True;True
154;Alexandre Silva;97861325482;amanda85@gmail.com;DF;18/02/1966;(81) 4788-1525;2024-11-15;3466,5;Inativo;False;True;True;True;True;True
155;Murilo Da Cruz;19785460258;hlopes@moreira.com;PI;11/08/1965;(81) 5543-8455;2024-10-27;1619,63;Ativo;True;False;True;True;True;True
156;Miguel Correia;37802964547;rafaela69@ig.com.br;MS;16/01/1970;(31) 9800-9811;2025-08-10;4559,8;Bloqueado;False;True;True;True;True;True
157;Ana Júlia Ribeiro;07851629330;da-costaeloah@uol.com.br;TO;04/04/1963;(84) 4975-7202;2024-08-20;3403,46;Ativo;False;True;True;True;True;True
158;Gustavo Henrique Ferreira;95382107602;gustavo@;PA;20/05/1965;[INVÁLIDO] 09006074679;2025-05-13;2844,88;Bloqueado;False;False;False;True;True;True
159;Maria Cecília Pinto;65801943757;esther57@rodrigues.net;ES;11/07/1990;(61) 2478-5074;2024-10-20;1407,88;Ativo;False;False;True;True;True;True
160;Maria Fernanda Carvalho;54076132980;drocha@gomes.com;ES;11/11/1969;(21) 7689-2780;2024-11-28;3067,15;Bloqueado;False;False;True;True;True;True
161;Ana Lívia Barros;12486035753;nda-rocha@uol.com.br;RN;25/02/1945;[INVÁLIDO] 08007267496;2024-08-16;3416,01;Inativo;False;True;False;True;True;True
162;Yuri Moraes;73061259406;ana-beatriz18@ramos.net;RO;14/08/1974;(31) 5856-6144;2025-01-28;886,97;Inativo;False;False;True;True;True;True
163;Ana Lívia Barros;12963487509;ccosta@da.br;CE;05/07/1988;(51) 4662-5140;2024-11-25;4022,24;Bloqueado;False;False;True;True;True;True
164;Vitória Moraes;89240635700;ana-beatrizda-mota@gmail.com;RN;17/10/1971;(81) 5889-7737;2025-07-15;2883,0;Ativo;False;True;True;True;True;True
165;Joana Moraes;75380624162;ana-beatrizcastro@silveira.br;TO;21/02/1948;(61) 7358-9958;2024-10-29;926,18;Ativo;False;False;True;True;True;True
166;Daniela Da Paz;12039546707;dcastro@martins.br;RR;24/11/1956;(71) 3182-4239;2024-10-08;1743,19;Bloqueado;False;False;True;True;True;True
167;Kamilly Campos;56238097400;luccaramos@uol.com.br;RS;09/04/1989;(71) 1496-2800;2025-03-10;2522,81;Ativo;False;True;True;True;True;True
168;Natália Da Rocha;16594208730;maite63@rodrigues.com;TO;17/02/1946;(21) 9985-6613;2025-11-04;4321,63;Ativo;False;False;True;True;True;False
169;Anthony Alves;89672013469;lorenasilveira@hotmail.com;PB;01/06/1949;(84) 7924-4967;2024-10-25;3143,28;Inativo;False;True;True;True;True;True
170;Luiz Felipe Caldeira;87563192077;gabrielcorreia@porto.net;BA;05/01/1991;(81) 9097-7828;2025-05-04;2089,8;Inativo;False;False;True;True;True;True
171;Sabrina Melo;40659187230;almeidaisabel@uol.com.br;SE;13/02/1951;(61) 6081-5721;2025-08-08;1865,29;Bloqueado;False;True;True;True;True;True
172;Matheus Da Conceição;03642857965;barrosisadora@yahoo.com.br;PR;13/05/1983;(31) 3855-9532;2025-03-30;2102,31;Ativo;False;True;True;True;True;True
173;Enrico Gonçalves;74891056258;alvesfelipe@yahoo.com.br;MS;20/02/1996;(31) 1694-7404;2024-12-03;2496,9;Ativo;False;True;True;True;True;True
174;João Miguel Nascimento;06397241831;mteixeira@gmail.com;RS;16/07/1945;(84) 8295-8371;2025-01-05;3278,21;Inativo;False;True;True;True;True;True
