ID Cliente,Nome Completo,CPF,E-mail,Estado,Data Nascimento,Telefone,Última Compra,Valor Compra,Status Cliente
16,Maria Vitória Cardoso,641.250.738-80,laviniamartins@bol.com.br,TO,12/09/1964,+55 81 6811 9456,2024-10-07,2006.98,Bloqueado
17,Igor Novaes,843.501.679-00,calebe93@bol.com.br,MA,29/04/1983,+55 84 7193 1946,2025-05-03,1116.68,Ativo
18,Pedro Oliveira,,araujoagatha@oliveira.com,Distrito Federal,17/07/1988,41 3047-1812,2024-11-29,2437.36,Bloqueado
19,Isabella Almeida,780.216.459-11,rodrigosouza@yahoo.com.br,SE,02/04/1973,+55 (061) 9933-2328,2025-06-22,2166.63,Inativo
20,Maria Fernanda Cardoso,902.374.856-56,joanaduarte@da.org,PE,16/01/1964,(041) 2425-6445,2025-07-01,564.16,Ativo
21,Evelyn das Neves,693.581.740-48,davicavalcanti@lima.br,RR,31/01/1997,71 4765 1908,2025-07-05,2760.62,Ativo
22,Alice Ribeiro,197793,stellaporto@martins.br,PE,25/01/2002,+55 21 7247-0016,2025-01-07,2017.18,Ativo
23,Guilherme Gomes,,camposjuliana@gmail.com,ES,25/07/2004,+55 31 3415 8642,2024-11-26,3657.92,Bloqueado
24,Vinicius da Mota,910.632.784-22,piresotavio@yahoo.com.br,RJ,07/06/1996,,2024-10-09,269.71,Inativo
25,Gabriela Silveira,367.582.940-56,gomesmariana@ig.com.br,PR,26/05/1999,(084) 7411 7954,2024-12-17,1191.32,Ativo
26,Ana Carolina Teixeira,350.128.746-17,ana@,BA,10/04/1954,+55 (041) 6395-9168,2025-01-04,1318.61,Bloqueado
27,Pedro Lucas Melo,390.546.217-61,pcardoso@da.org,MS,10/05/1967,71 9308 9425,2024-08-26,2302.26,Bloqueado
28,Ryan da Mata,,rodriguesluigi@moreira.net,SC,25/01/1950,+55 (084) 0365 4831,2025-07-02,1860.24,Ativo
29,Dr. Daniel Nogueira,541.297.360-43,barbaraaraujo@ig.com.br,AM,24/06/1972,(011) 3868 3122,2025-05-10,4660.15,Ativo
30,Catarina Rocha,739.108.452-23,juan13@yahoo.com.br,AM,17/04/1974,+55 (081) 1153-6109,2024-09-08,1033.91,Bloqueado
31,Dr. Leandro Duarte,278.149.563-82,da-rosavitor-gabriel@das.com,AL,23/03/1965,0300 951 7330,2025-09-19,1681.11,Ativo
32,Ryan Duarte,083.695.247-29,limasabrina@bol.com.br,MS,31/11/1985,,2024-10-19,4521.56,Bloqueado
33,DRA. PIETRA VIANA,932.170.845-60,ana-carolina25@fogaca.com,Santa Catarina,12/11/1967,0800-406-2372,2025-06-26,218.68,Inativo
34,Sra. Mariane Mendes,430.196.275-16,beniciomartins@aragao.br,SP,04/04/1975,+55 61 9951-5231,2025-05-08,4650.81,Ativo
35,Melissa Pereira,637.194.582-37,melissa@,SC,23/10/1945,0900 700 4517,2025-02-16,4323.04,Ativo
36,Rebeca da Luz,618.745.032-90,almeidaluana@ig.com.br,AC,03/12/1947,+55 41 8430-5379,2024-10-11,1539.85,Ativo
37,Bárbara Jesus,795.610.832-21,mirella31@ig.com.br,PR,24/10/1944,31 0748-8498,2025-03-29,3404.0,Bloqueado
38,Gustavo Henrique Santos,,goliveira@ferreira.br,AL,08/09/1983,21 7999-7537,2025-10-22,2990.92,Inativo
39,Davi Lucca Fogaça,837.054.219-05,ana-clara50@duarte.br,RS,06/12/1951,84 9548-2099,2025-06-09,28.42,Bloqueado
40,Giovanna da Cruz,742.936.150-16,moraesbeatriz@ferreira.com,ES,12/04/2006,61 9027-1668,2025-05-20,3323.67,Ativo
41,Eloah Pereira,032.417.659-70,agathamoraes@ig.com.br,PA,27/11/1970,,2025-06-29,4703.01,Bloqueado
42,Noah Campos,961.235.784-64,gdas-neves@melo.org,TO,13/10/1999,61 6231 9508,2024-09-12,3041.17,Inativo
43,Vitória Freitas,861.520.437-35,ana-carolinafernandes@da.com,DF,13/10/2002,81 1553-0399,2025-07-17,2586.95,Bloqueado
44,Sarah da Costa,,pedro08@rodrigues.br,TO,29/03/1975,+55 (081) 7785 9412,2024-09-19,250.14,Inativo
45,Otávio Dias,283.906.457-00,luiz-miguelmoura@pereira.br,GO,29/01/1954,51 6380 7620,2024-08-14,754.91,Bloqueado
46,ALICE DA PAZ,765.829.034-38,oliveirasophie@silva.br,CE,01/07/1965,(011) 5290 2777,2025-05-18,270.09,Ativo
47,Enrico Monteiro,049.628.375-83,umoreira@hotmail.com,CE,15/12/1976,41 8117 6203,2025-07-28,2224.02,Bloqueado
48,Sra. Laura Duarte,081.467.923-40,caldeiralorenzo@gmail.com,RO,12/09/2005,+55 21 1848 7126,2025-07-27,4202.52,Inativo
49,Yago Monteiro,956.312.847-82,cavalcantiheitor@sales.org,MS,28/11/1972,+55 81 0491-6920,2024-11-27,2709.96,Ativo
50,Francisco Jesus,980.652.437-38,leticia73@ferreira.com,RJ,11/08/1981,+55 (061) 8155 1743,2025-02-05,4167.8,Inativo
51,Isabelly Mendes,302.549.618-51,kjesus@yahoo.com.br,SP,01/10/1945,,2024-10-28,3772.31,Inativo
52,Luiz Henrique Pinto,016.439.582-24,gmoraes@gmail.com,GO,02/08/1972,(071) 2892 5167,2025-01-08,3350.99,Inativo
53,Srta. Rafaela Farias,364.920.518-15,beniciocampos@almeida.com,DF,26/05/1972,(061) 8938-7257,2025-01-08,438.06,Inativo
54,Yasmin Campos,250.348.679-74,luiz-felipecardoso@uol.com.br,AL,15/04/1997,61 8547-4840,2025-01-17,3765.01,Inativo
55,Heitor Ribeiro,,heitor@,BA,10/08/1977,81 9717 3087,2025-01-25,3910.54,Bloqueado
56,DRA. MARIA CLARA CASTRO,,fcarvalho@da.br,AP,13/04/1971,(011) 6011 9543,2024-11-19,589.66,Ativo
57,Anthony Freitas,384.125.096-33,lda-costa@ig.com.br,AL,17/04/1967,0900 625 1150,2024-12-25,1568.97,Bloqueado
58,SR. EDUARDO NOVAES,174.029.538-23,smelo@gmail.com,CE,20/04/1963,,2025-01-14,3143.67,Ativo
59,Ana Laura Lopes,816.520.437-80,cardosomaria-clara@bol.com.br,MS,23/09/1953,,2025-06-24,3314.38,Ativo
60,Sofia Martins,768.314.095-39,carolineda-cruz@yahoo.com.br,RO,27/09/1977,21 8345-0661,2025-01-16,3542.4,Inativo
61,Pedro Miguel Moraes,193.867.245-37,alexiamoura@uol.com.br,PE,16/05/1999,+55 41 1237-2941,2025-05-18,2970.52,Inativo
62,Maria da Luz,762.491.308-96,correiabrenda@uol.com.br,MG,09/08/1985,+55 (071) 0660-2331,2024-12-06,162.93,Inativo
63,Kaique Fogaça,346.297.501-34,liviada-cunha@moreira.br,PA,13/05/1958,0800 799 6028,2025-09-08,4741.35,Ativo
64,Dra. Kamilly Farias,273.194.058-14,isiscampos@gmail.com,PB,22/04/1992,(031) 2687-4209,2025-11-02,1485.29,Inativo
65,Clara Carvalho,401.256.789-67,lopesluiz-henrique@costela.com,RS,07/11/1996,+55 (011) 8851-8447,2024-11-14,3520.22,Inativo
66,Maria Clara da Conceição,143.895.720-32,alanagomes@ig.com.br,RS,06/07/1995,+55 84 4205-1444,2024-10-02,3698.25,Inativo
67,Maria Cecília Silveira,028.369.154-98,renan58@azevedo.org,PA,07/05/1983,(084) 0036 7588,2025-05-08,90.46,Bloqueado
68,Ana Sophia Peixoto,,pedro-miguelfarias@da.com,DF,03/03/1955,+55 31 0791-0740,2025-06-14,530.89,Ativo
69,Srta. Beatriz Caldeira,713.529.460-25,amoraes@moraes.com,AM,01/07/1974,(011) 7052-0257,2025-04-18,2015.52,Ativo
70,Otávio Fernandes,540.329.178-41,yjesus@bol.com.br,PA,06/10/1979,(071) 3908 5073,2025-08-08,2092.55,Bloqueado
71,Gustavo Moreira,952.467.183-28,leonardo77@hotmail.com,MA,10/02/1981,+55 (051) 6457-8290,2024-10-14,3112.72,Bloqueado
72,Ana da Mota,,gabrielgoncalves@barbosa.br,RN,02/08/1999,,2025-07-31,2768.92,Ativo
73,IGOR DA ROCHA,752.398.641-28,lucca11@ig.com.br,MT,09/05/1986,21 5383 8788,2025-03-17,3443.18,Inativo
74,Joaquim Silva,079.481.623-13,alopes@uol.com.br,PR,20/07/1970,(021) 9650 8893,2025-01-18,4136.62,Ativo
75,Daniela da Mata,036.921.584-24,mouradavi@goncalves.com,AL,21/10/1952,+55 (081) 1891 1596,2025-06-28,2024.49,Inativo
76,João Vitor Carvalho,584.073.291-50,joão@,SC,28/03/2004,+55 (041) 4726 5402,2025-06-04,4810.32,Bloqueado
77,Nina Melo,,araujoclara@yahoo.com.br,PE,23/07/1969,(051) 8066-9120,2024-08-29,2604.44,Inativo
78,Samuel da Mota,702.146.583-17,moreiraluiz-gustavo@oliveira.net,MG,08/12/1976,84 7977-0529,2024-10-09,3357.26,Ativo
79,Dr. Antônio das Neves,673.019.485-57,marinafogaca@ig.com.br,SP,28/03/1970,(084) 6837-9882,2025-03-15,1629.9,Inativo
80,Maria Luiza Correia,668950,dfogaca@bol.com.br,RR,26/10/1990,+55 (041) 4474 0562,2025-05-13,2221.36,Ativo
81,Paulo Lopes,976.854.012-58,emanuellaaraujo@fernandes.net,PE,20/05/1948,(071) 8460 1666,2024-08-21,1211.7,Ativo
82,Dra. Yasmin Ramos,,diasraul@bol.com.br,PB,03/02/1952,,2025-03-11,3245.59,Ativo
83,Srta. Maria Julia da Rocha,015.873.649-48,pedropeixoto@souza.br,GO,07/12/1983,(081) 8144-0844,2025-01-07,1930.26,Bloqueado
84,Joaquim Gonçalves,052.816.479-11,costelaclarice@gmail.com,RS,26/09/1981,+55 41 0815-4240,2024-11-09,4106.34,Inativo
85,Bernardo Sales,350.721.964-61,omonteiro@lima.org,RO,28/09/1963,+55 (011) 0880 6394,2025-06-11,3819.11,Inativo
86,Joaquim Almeida,701.563.924-61,henrique60@da.br,RJ,18/04/1981,(071) 3342-4084,2025-09-02,3728.63,Bloqueado
87,Dr. Vicente Araújo,562.081.749-02,glopes@freitas.com,MS,30/06/1998,(061) 3603 9480,2024-10-07,4827.46,Inativo
88,André Nogueira,410.869.273-03,wpeixoto@bol.com.br,RO,08/01/1994,+55 41 4351-4119,2025-01-11,788.72,Inativo
89,Rafael da Mota,795.360.421-34,rpeixoto@hotmail.com,AL,29/01/1994,+55 (084) 8637-4728,2024-12-13,4771.62,Bloqueado
90,Antônio Barros,714.908.236-03,antônio@,AC,01/10/1985,(081) 5705-4071,2024-11-30,3738.9,Inativo
91,Srta. Eduarda Moreira,203.418.659-15,kevinsilveira@hotmail.com,RO,04/09/2000,,2025-01-09,299.47,Inativo
92,Emilly da Conceição,781.346.095-20,lcardoso@ferreira.br,RN,20/12/1966,,2024-12-06,3106.16,Ativo
93,Giovanna Gomes,274.613.895-64,alvesraul@ferreira.br,ES,09/05/1963,(081) 9859-1426,2025-04-03,1452.41,Bloqueado
94,Vitor Costela,179.456.308-39,xalves@da.com,BA,22/03/1995,+55 (071) 0948-2553,2024-09-22,1012.1,Inativo
95,Thiago Lima,756.083.492-29,da-motamaria-fernanda@gomes.br,RN,27/03/1945,,2024-09-25,1991.11,Ativo
96,Agatha Cunha,594.637.802-38,agatha@,PE,24/02/1970,+55 71 4617-0997,2025-04-10,3998.32,Bloqueado
97,Lucas Gabriel Pinto,412.083.765-35,kfreitas@gmail.com,MS,30/06/1983,+55 (061) 4462 9677,2025-02-03,503.88,Bloqueado
98,Giovanna Viana,483.156.720-53,lsales@hotmail.com,MS,14/11/1956,+55 (071) 7785-3428,2025-03-19,894.69,Ativo
99,Maria Eduarda Vieira,891.425.367-82,juanaraujo@ig.com.br,RR,27/08/1981,84 1821 8805,2025-02-13,4837.57,Inativo
100,Dra. Milena Costa,201.846.957-67,caldeiraana-luiza@hotmail.com,MG,01/05/1997,+55 84 6845 1896,2024-10-06,4900.11,Bloqueado
101,Noah Pires,662636,antonioda-rosa@hotmail.com,SE,23/10/1967,(031) 9524 7392,2025-02-23,3199.98,Inativo
102,Srta. Stephany da Rosa,688678,ana-laurada-cunha@uol.com.br,ES,17/06/2004,+55 61 2744 3201,2024-09-16,3511.36,Bloqueado
103,Enrico Almeida,749.821.603-50,theo26@bol.com.br,PA,22/10/1974,0800-283-8725,2024-12-18,2279.15,Bloqueado
104,Sr. Enzo Gabriel Caldeira,970.314.628-78,ferreiramariana@barbosa.br,AP,23/02/2001,+55 (041) 3852-1264,2025-06-30,3085.95,Inativo
105,EMANUELLA SANTOS,856.397.401-75,pintoalexandre@bol.com.br,PA,09/10/1948,(021) 8724-8466,2025-04-12,4889.66,Inativo
106,Mirella Gonçalves,643.807.152-80,nogueiranina@hotmail.com,RJ,28/09/1992,+55 (031) 7182 5690,2024-09-16,4856.04,Ativo
107,Maria Cecília Ramos,530.412.869-98,cardosogabrielly@goncalves.net,ES,25/06/1988,+55 (061) 8228-4012,2024-10-31,4351.08,Inativo
108,Marina Rocha,408.213.675-44,maria-vitoria48@costela.br,SE,21/04/1981,+55 (061) 2383 8887,2025-01-04,567.43,Ativo
109,Srta. Clarice Melo,125.364.987-19,carolina99@bol.com.br,Maranhão,06/02/1976,,2025-06-07,585.97,Ativo
110,Isaac Ramos,068.357.219-95,qpereira@ig.com.br,RS,27/03/1980,,2024-09-22,4337.56,Bloqueado
111,Pedro Lucas Fernandes,602248,enogueira@souza.com,BA,05/01/2005,71 5186 7756,2025-01-23,4498.35,Inativo
112,Kevin Rodrigues,,lalmeida@uol.com.br,CE,17/03/1948,61 5708-1107,2025-02-26,2662.17,Inativo
113,Helena Lopes,712.360.589-68,emanuelbarbosa@lopes.br,AL,23/06/1978,(041) 8519-2409,2024-12-22,2161.75,Ativo
114,Yasmin Ribeiro,609.458.137-75,sophierodrigues@ig.com.br,DF,27/03/1951,+55 41 2358 8848,2024-08-27,3440.37,Inativo
115,Stella Caldeira,389.602.475-29,monteirolucca@yahoo.com.br,RS,27/08/1979,(021) 8581 4269,2024-10-07,2816.7,Inativo
116,Ian da Mata,340.269.185-05,ryan46@hotmail.com,SE,11/10/1946,,2024-09-04,1576.0,Ativo
117,Eduardo Azevedo,930.548.217-14,qgomes@moraes.br,DF,17/12/1976,(041) 9542 2777,2025-07-30,2879.02,Inativo
118,Beatriz Alves,862.071.453-80,dramos@bol.com.br,BA,25/07/1989,+55 (071) 5556-0365,2025-05-17,1351.89,Ativo
119,Lucas Gabriel Gomes,201.874.365-17,moraesvalentina@uol.com.br,GO,22/03/1961,(021) 0558-5565,2025-04-29,3710.03,Ativo
120,Luiz Henrique Carvalho,972.018.645-30,luiz-henrique71@bol.com.br,TO,16/12/1988,(071) 8019 6007,2025-03-02,2989.19,Ativo
121,Dr. Leandro Dias,185544,duartelucas@hotmail.com,PB,08/10/2004,84 6887-6710,2024-12-12,3779.62,Ativo
122,Dra. Emanuelly Fernandes,218.057.649-85,znovaes@barros.org,DF,03/10/1945,(011) 1086-8937,2025-08-10,292.81,Ativo
123,Luiz Gustavo da Cruz,725.468.391-28,amandagomes@ig.com.br,PB,31/11/1985,+55 31 1443 5548,2025-05-16,1913.43,Bloqueado
124,João Gabriel Pires,786.509.431-01,francisco10@ig.com.br,GO,29/09/1968,+55 (061) 8842 3213,2025-02-27,407.76,Inativo
125,Bryan da Rosa,351.089.472-32,cazevedo@gomes.com,RN,05/08/1965,(084) 6126-6963,2025-01-20,3098.26,Bloqueado
126,Marcelo Farias,,da-luzgiovanna@yahoo.com.br,SC,16/06/1982,81 0736-4352,2024-10-24,1565.17,Inativo
127,Kevin da Conceição,396.524.187-73,aduarte@uol.com.br,SP,07/10/1982,+55 (011) 9342-0449,2024-10-15,4791.95,Bloqueado
128,Guilherme Mendes,582.906.173-21,pereiraotavio@ramos.br,CE,08/01/1963,+55 71 2915-0478,2024-11-16,3868.78,Inativo
129,Fernando Costa,763.901.542-16,levipereira@uol.com.br,MG,24/02/1987,+55 (071) 9325 9751,2025-07-25,4855.45,Inativo
130,Ana Julia da Luz,,luiz-fernandopeixoto@vieira.net,SE,02/05/1978,,2025-01-23,1565.83,Inativo
131,LORENZO NOVAES,056.942.378-38,luiz-fernando28@uol.com.br,CE,07/03/1971,31 6237 8407,2025-06-10,2910.04,Bloqueado
132,João Felipe Nogueira,325.641.798-19,almeidalevi@dias.com,CE,24/01/1954,+55 (031) 1898 5299,2024-10-07,535.44,Inativo
133,Larissa Oliveira,,melissa32@bol.com.br,Minas Gerais,25/11/1993,81 9604-8723,2024-12-14,3056.83,Inativo
134,Emilly da Conceição,745.813.029-60,maria-alice28@yahoo.com.br,SC,10/02/1986,(041) 9679-0124,2025-06-08,490.64,Bloqueado
135,Natália Sales,365.894.702-00,xda-rocha@ig.com.br,CE,31/10/1973,,2024-10-24,4585.4,Inativo
136,Sra. Gabrielly Costela,573.106.248-07,costelasabrina@monteiro.com,BA,13/11/1952,+55 84 1286-3064,2024-11-03,4069.66,Bloqueado
137,Sra. Maysa Souza,497.285.316-64,eduardaaragao@ig.com.br,BA,29/12/1989,0300 598 7492,2025-10-04,1558.15,Ativo
138,Pietro Ribeiro,940.587.163-39,fmartins@hotmail.com,RS,20/11/1979,81 0089 5794,2025-05-30,2708.06,Bloqueado
139,Sr. Ian Nascimento,,fogacaluiz-henrique@souza.com,DF,20/11/1976,81 6205 5876,2024-09-10,4160.1,Bloqueado
140,Luiza Freitas,364.812.095-60,duartejoao-felipe@da.br,SP,11/05/1977,+55 (041) 3391 5611,2024-11-21,3747.71,Inativo
141,Raul Rezende,745.302.689-00,barbosalucca@yahoo.com.br,AC,13/04/1963,+55 (061) 5888-8895,2024-10-22,2214.18,Inativo
142,Thales Correia,870.694.132-03,lauradias@da.br,GO,03/11/1985,+55 71 1251-2532,2024-09-02,2413.34,Inativo
143,Lorenzo Viana,820.459.736-38,vdas-neves@da.br,RS,23/09/1948,+55 (084) 5645-5214,2024-10-30,753.8,Inativo
144,Ana Sophia Monteiro,071.369.458-01,maria51@hotmail.com,SC,29/11/1992,+55 (041) 2429 8090,2025-07-05,1943.11,Ativo
145,Marcelo da Mata,,eramos@gmail.com,AP,19/09/1968,0300-554-1552,2024-08-27,1448.66,Inativo
146,Davi Santos,768.502.134-07,meloenzo-gabriel@hotmail.com,Amazonas,18/04/2006,+55 (051) 1878-3587,2025-03-21,2753.05,Bloqueado
147,Maria Cecília Rocha,063.128.745-08,rodrigo25@correia.com,PE,20/10/2001,(041) 9478 3110,2024-11-22,332.78,Inativo
148,Sra. Maria Alice Mendes,,maria-julia09@moura.br,AP,06/12/1967,+55 61 7535 9828,2024-09-27,1218.01,Inativo
149,Alana da Costa,754.698.203-00,bcardoso@yahoo.com.br,RR,02/09/1986,+55 41 8543-1233,2024-08-16,121.26,Inativo
150,JOÃO GUILHERME MONTEIRO,501.897.632-21,mendesdiego@moreira.br,PB,19/02/2000,+55 31 7304-0804,2025-05-06,536.25,Bloqueado
151,Fernando Correia,672536,giovanna11@bol.com.br,GO,19/06/1954,+55 (031) 3041-4751,2025-04-28,2403.09,Ativo
152,Vinicius da Luz,,mcosta@peixoto.com,AL,09/02/1947,,2025-01-14,228.69,Inativo
153,João da Cunha,813.674.590-01,gustavo-henriqueporto@yahoo.com.br,BA,18/05/2003,+55 41 4196-0600,2024-08-29,4331.68,Inativo
154,Alexandre Silva,978.613.254-82,amanda85@gmail.com,DF,18/02/1966,+55 (081) 4788 1525,2024-11-15,3466.5,Inativo
155,Murilo da Cruz,197.854.602-58,hlopes@moreira.com,PI,11/08/1965,+55 (081) 5543-8455,2024-10-27,1619.63,Ativo
156,Miguel Correia,378.029.645-47,rafaela69@ig.com.br,MS,16/01/1970,31 9800 9811,2025-08-10,4559.8,Bloqueado
157,Ana Júlia Ribeiro,078.516.293-30,da-costaeloah@uol.com.br,TO,04/04/1963,+55 84 4975-7202,2024-08-20,3403.46,Ativo
158,Gustavo Henrique Ferreira,953.821.076-02,gustavo@,PA,20/05/1965,0900-607-4679,2025-05-13,2844.88,Bloqueado
159,Maria Cecília Pinto,658.019.437-57,esther57@rodrigues.net,ES,11/07/1990,61 2478-5074,2024-10-20,1407.88,Ativo
160,MARIA FERNANDA CARVALHO,540.761.329-80,drocha@gomes.com,ES,11/11/1969,(021) 7689 2780,2024-11-28,3067.15,Bloqueado
161,Ana Lívia Barros,124.860.357-53,nda-rocha@uol.com.br,RN,25/02/1945,0800-726-7496,2024-08-16,3416.01,Inativo
162,Yuri Moraes,730.612.594-06,ana-beatriz18@ramos.net,RO,14/08/1974,(031) 5856-6144,2025-01-28,886.97,Inativo
163,Ana Lívia Barros,129.634.875-09,ccosta@da.br,CE,05/07/1988,+55 (051) 4662 5140,2024-11-25,4022.24,Bloqueado
164,Srta. Vitória Moraes,892.406.357-00,ana-beatrizda-mota@gmail.com,RN,17/10/1971,(081) 5889 7737,2025-07-15,2883.0,Ativo
165,Joana Moraes,753.806.241-62,ana-beatrizcastro@silveira.br,TO,21/02/1948,+55 (061) 7358 9958,2024-10-29,926.18,Ativo
166,Daniela da Paz,120.395.467-07,dcastro@martins.br,RR,24/11/1956,+55 71 3182-4239,2024-10-08,1743.19,Bloqueado
167,Kamilly Campos,562.380.974-00,luccaramos@uol.com.br,RS,09/04/1989,+55 71 1496 2800,2025-03-10,2522.81,Ativo
168,Natália da Rocha,165.942.087-30,maite63@rodrigues.com,TO,17/02/1946,(021) 9985 6613,2025-11-04,4321.63,Ativo
169,ANTHONY ALVES,896.720.134-69,lorenasilveira@hotmail.com,PB,01/06/1949,84 7924-4967,2024-10-25,3143.28,Inativo
170,Luiz Felipe Caldeira,875.631.920-77,gabrielcorreia@porto.net,BA,05/01/1991,81 9097 7828,2025-05-04,2089.8,Inativo
171,Sabrina Melo,406.591.872-30,almeidaisabel@uol.com.br,SE,13/02/1951,+55 61 6081 5721,2025-08-08,1865.29,Bloqueado
172,Sr. Matheus da Conceição,036.428.579-65,barrosisadora@yahoo.com.br,PR,13/05/1983,(031) 3855 9532,2025-03-30,2102.31,Ativo
173,Enrico Gonçalves,748.910.562-58,alvesfelipe@yahoo.com.br,MS,20/02/1996,31 1694-7404,2024-12-03,2496.9,Ativo
174,João Miguel Nascimento,063.972.418-31,mteixeira@gmail.com,RS,16/07/1945,(084) 8295-8371,2025-01-05,3278.21,Inativo
175,Thales Caldeira,,caldeirarodrigo@ig.com.br,SE,04/04/1956,+55 (051) 9651 5183,2024-12-20,245.31,Ativo
176,Srta. Amanda Melo,124.796.305-52,bianca90@da.br,PI,28/05/1961,+55 31 9840 4544,2025-01-29,3408.39,Ativo
177,Vitória Correia,,sophia69@bol.com.br,PR,22/05/2000,0800 159 9211,2024-11-17,3020.27,Inativo
178,Ian Monteiro,,alexandre52@ig.com.br,PI,18/04/1966,+55 (031) 2891-3010,2025-05-20,2587.22,Inativo
179,Letícia Novaes,725.843.016-44,joao-lucas37@hotmail.com,SC,29/09/1986,(061) 8920-7470,2024-08-19,2459.44,Bloqueado
180,Maria Clara Peixoto,705.912.348-23,da-luznicole@freitas.br,PA,18/05/1965,11 4532-9553,2025-03-25,3446.46,Ativo
181,Srta. Milena Costela,125.708.639-12,sabrinamoreira@mendes.br,BA,05/02/2004,,2025-03-26,2630.68,Bloqueado
182,Maria Eduarda Peixoto,201.639.458-70,pda-costa@da.com,Acre,11/04/1989,,2025-09-23,1582.19,Ativo
183,Ana Porto,473.095.618-48,ajesus@goncalves.com,MS,13/04/2005,+55 (081) 3112 7746,2025-02-16,2603.04,Bloqueado
184,João Vitor da Mata,605.394.781-48,nathan15@da.com,RO,21/09/1975,+55 (021) 5227 0573,2025-03-01,3864.51,Bloqueado
185,Cecília Costa,054.276.319-25,trodrigues@martins.br,PR,07/07/2002,71 2923 2887,2025-03-21,4911.66,Inativo
186,Enzo Alves,506.198.372-68,maria-alicefarias@da.com,PE,22/05/1964,(011) 5750 8619,2024-11-01,2875.91,Bloqueado
187,Sarah Martins,836.021.574-07,saraujo@costela.com,PB,27/01/1981,41 8234-0817,2025-05-25,1744.89,Inativo
188,Francisco Martins,027.936.148-31,ana-clarapinto@yahoo.com.br,GO,26/05/1972,(081) 1888 9252,2024-11-12,3709.64,Ativo
189,Mirella Sales,175.834.092-41,maria-fernanda42@hotmail.com,RS,22/09/1970,+55 (061) 5478-0261,2025-08-06,3858.41,Ativo
190,Bianca Correia,381.264.079-13,nicolecunha@farias.net,AL,06/08/2004,+55 11 6978 4417,2024-09-19,1450.48,Inativo
191,Stella Cavalcanti,758.209.416-67,alicia87@uol.com.br,SE,13/02/2006,+55 (061) 3091 6980,2024-09-29,891.82,Ativo
192,Vitor Gabriel Gomes,,mendesana-vitoria@hotmail.com,CE,16/11/1963,+55 (071) 6623-6198,2025-06-27,1461.55,Ativo
193,DR. JOÃO LUCAS NASCIMENTO,056.142.739-99,gmonteiro@uol.com.br,PA,08/01/1982,+55 31 0003 4137,2025-07-21,4694.03,Bloqueado
194,Guilherme da Cunha,391.726.504-43,umelo@caldeira.com,AP,10/10/1947,+55 (071) 7821-4453,2025-07-20,3958.02,Bloqueado
195,Maria Vitória Costela,604.521.837-07,fazevedo@uol.com.br,AC,29/05/1957,84 6785 4226,2024-12-15,495.02,Ativo
196,Bruno Cardoso,502206,rezendenicole@castro.com,GO,10/04/1949,31 2576 4556,2025-01-27,76.95,Bloqueado
197,Emanuelly Freitas,051.897.264-01,gporto@yahoo.com.br,AL,26/10/1961,+55 31 8073-7228,2025-08-07,3853.81,Bloqueado
198,Davi Lucca Castro,063.427.589-56,benicio62@costa.br,RR,25/10/1993,+55 (061) 6376-4798,2025-06-14,3036.58,Inativo
